eid,n,t,w
44524,discontacteur,1,72
44525,sous-espèce,1,54
44526,courbature,1,114
44538,affabulateur,1,56
44539,analogue,1,64
44546,répéter,1,278
44547,garde,1,556
44549,aorte,1,134
44552,fanatiser,1,52
44553,dominance,1,60
44558,PCR,1,60
44559,tuberculose,1,118
44562,taf,1,82
44567,nubile,1,54
44573,dogme,1,70
44575,vieux,1,1975
44578,ensellure,1,68
44584,dompteur,1,260
44586,alto,1,250
44587,gélifiant,1,72
44588,patelle,1,68
44589,longévité,1,84
44593,dénicher,1,54
44596,non-voyant,1,68
44597,occipital,1,56
44600,coup de vent,1,126
44602,désoxyguanosine,1,52
44606,fugu,1,64
44608,réticulum,1,58
44610,disjoindre,1,88
44623,matheux,1,78
44625,magouilleur,1,76
44627,découpoir,1,52
44629,alinéa,1,58
44633,dugong,1,64
44640,métropolite,1,54
44647,graphologique,1,80
44649,raboter,1,96
44652,gazouillis,1,90
44654,transporter,1,1026
44655,sans foi ni loi,1,56
44657,tapoter,1,88
44658,Monte-Carlo,1,52
44659,intestins,1,116
44662,enfantillage,1,54
44663,réseau,1,624
44665,bourrier,1,54
44673,tournis,1,68
44677,timidement,1,82
44681,système immunitaire,1,176
44682,simplement,1,132
44683,clitoridien,1,60
44685,môme,1,78
44687,récessivité,1,52
44689,ramifier,1,52
44693,blues,1,160
44699,Sud-Ouest,1,68
44703,baraqué,1,58
44704,sauvageon,1,84
44719,curée,1,62
44720,ici,1,302
44726,couler,1,702
44733,degré Fahrenheit,1,54
44735,abasourdissement,1,54
44738,resserrer,1,88
44740,volatiliser,1,56
44749,éjaculation précoce,1,54
44755,lancer,1,624
44758,contestation,1,106
44762,mildiou,1,52
44771,lactosérum,1,54
44775,artifice,1,120
44781,Valais,1,56
44786,deltoïde,1,72
44789,aigle de mer,1,52
44791,éloigné,1,148
44798,guérir,1,822
44801,cornéen,1,54
44804,restriction,1,78
44807,bourgade,1,74
44808,rhinolophe,1,54
44809,faire confiance,1,76
44810,aérostat,1,106
44818,Alex,1,52
44827,déballastage,1,52
44831,hardiment,1,78
44844,endurci,1,58
44849,soliloque,1,54
44853,fascinant,1,58
44863,embrouillamini,1,68
44864,irrégulière,1,52
44868,branlette,1,98
44871,animelles,1,52
44874,se modérer,1,52
44878,bibliographie,1,76
44879,pouvoir absolu,1,54
44881,aggravée,1,52
44883,face-à-main,1,52
44885,protectorat,1,52
44886,pur,1,328
44887,pet,1,316
44889,Python,1,54
44892,se préserver,1,52
44894,fouetté,1,68
44895,gémellarité,1,56
44896,malinois,1,52
44905,feu vert,1,96
44907,boulotter,1,66
44912,alémanique,1,54
44914,holographie,1,54
44921,monnaie-du-pape,1,52
44923,Las Vegas,1,64
44925,pochetron,1,52
44927,Plathelminthes,1,72
44929,avocatier,1,64
44935,réorienter,1,52
44938,quadrimoteur,1,52
44940,cognition,1,102
44941,psychogénie,1,52
44942,tachycardie,1,74
44947,gradé,1,144
44950,filmage,1,60
44951,empoisonnant,1,64
44953,apte,1,86
44955,botulisme,1,162
44957,Agatha Christie,1,152
44961,décorer,1,604
44965,à bâtons rompus,1,56
44969,quenotte,1,64
44973,vaseux,1,72
44977,charnel,1,80
44979,se remplacer,1,52
44990,tenir compte de,1,64
44991,inconsistance,1,68
44994,intermède,1,66
44995,gercé,1,52
45005,Japonaise,1,54
45011,atrocement,1,78
45013,scient,1,52
45014,Fluide Glacial,1,68
45016,option,1,158
45019,se percher,1,58
45025,mésons,1,52
45026,sionisme,1,52
45030,homéostasie,1,52
45031,Irlande du Nord,1,96
45033,altocumulus,1,72
45036,décrasser,1,76
45037,écheveau,1,52
45038,robotique,1,108
45040,inventé,1,60
45042,fécondable,1,52
45043,Adeline,1,52
45048,éponyme,1,54
45049,montre,1,786
45052,auteur,1,2080
45053,Hilarion,1,52
45054,prohibition,1,68
45055,Rhône,1,134
45070,Théophraste,1,56
45074,Fatah,1,52
45076,sérologie,1,52
45077,volte-face,1,68
45079,cervelle,1,210
45096,bécoter,1,92
45098,en retard,1,192
45100,jarre,1,90
45102,introverti,1,82
45105,pesanteur,1,64
45109,édifice,1,232
45113,coriste,1,52
45115,terrassier,1,194
45127,exercices,1,94
45128,hexadécimal,1,54
45130,courante,1,134
45131,ramification,1,78
45133,boucher,1,670
45134,ligne de conduite,1,52
45137,Eurysthée,1,60
45139,sphaigne,1,54
45144,astigmatisme,1,106
45147,pantouflard,1,52
45150,psaume,1,158
45151,excommunier,1,58
45153,Vendredi ou les Limbes du Pacifique,1,54
45163,kenyan,1,66
45164,glouglou,1,66
45169,décoffrage,1,56
45171,blaguer,1,148
45177,trotter,1,182
45178,municipalité,1,148
45179,maison,1,12086
45186,irrésistible,1,80
45187,Rumex,1,52
45188,William McKinley,1,54
45191,diligence,1,86
45193,grossissant,1,66
45196,premier jet,1,86
45198,simpliste,1,66
45199,dictatorial,1,54
45200,dissous,1,54
45202,ébéniste,1,126
45205,afghan,1,52
45209,arrangé,1,108
45212,conserverie,1,62
45213,cabaleur,1,54
45216,coffre,1,962
45219,ypérite,1,54
45221,crise,1,1078
45223,particulièrement,1,78
45224,amarre,1,58
45225,effrayer,1,234
45229,castrisme,1,52
45230,carcéral,1,72
45231,Hôtel du Nord,1,64
45233,grand-papa,1,80
45234,praxis,1,52
45236,établir,1,104
45238,in extenso,1,60
45239,rancuneux,1,52
45243,lipophile,1,58
45244,vous,1,346
45247,voeu,1,196
45249,contre nature,1,52
45255,bandelette,1,100
45258,déchaînement,1,90
45269,bâtard,1,122
45277,Novgorod,1,52
45278,à laine,1,56
45282,Chattes,1,52
45286,désespérer,1,120
45287,accoutré,1,58
45288,bathyscaphe,1,66
45291,grand-mère,1,970
45292,chrysalide,1,204
45294,épitrochlée,1,52
45295,madrépore,1,56
45296,extraction,1,286
45297,boîtier,1,66
45303,faucheuse,1,86
45307,gloutonner,1,54
45310,affaiblissant,1,52
45311,dentaire,1,352
45320,chameau,1,248
45321,débrider,1,56
45324,démêler,1,128
45330,Véronèse,1,60
45333,moto-cross,1,52
45338,se rassembler,1,54
45342,branchial,1,54
45344,douanes,1,52
45349,encrier,1,156
45351,supplicier,1,108
45353,être tenu de,1,52
45358,stabilisateur,1,52
45359,rageusement,1,86
45362,feux,1,98
45364,typhus,1,78
45368,fendue,1,56
45370,complément,1,136
45372,wagon-bar,1,58
45375,équinoxe,1,80
45379,Gennevilliers,1,52
45391,mettre sa langue dans sa poche,1,52
45393,bête sauvage,1,62
45395,irréalité,1,70
45401,bramement,1,52
45403,algèbre,1,288
45411,magiquement,1,66
45413,apport,1,82
45414,Voyage au centre de la Terre,1,56
45424,papyrus,1,98
45426,requis,1,52
45428,bénédiction,1,140
45429,colocataire,1,94
45433,véridiquement,1,52
45444,crémant,1,54
45446,existe,1,62
45455,saladier,1,158
45461,moussaka,1,80
45470,menstrues,1,100
45471,décongeler,1,82
45472,sculpter,1,270
45474,alcoologie,1,74
45475,cyberespace,1,52
45477,grisaille,1,106
45478,créditer,1,90
45480,rougeur,1,154
45481,omelette,1,346
45484,Isadora Duncan,1,62
45485,sarde,1,54
45489,Djamel,1,56
45491,apitoiement,1,62
45492,thanatologie,1,52
45500,prénatal,1,54
45509,hasardeux,1,68
45516,au lieu de,1,56
45518,granulé,1,60
45521,baragouiner,1,72
45525,hypersomnie,1,62
45534,dirigeable,1,136
45536,tressaillir,1,104
45537,intrigué,1,56
45543,fidélité,1,144
45545,bûche,1,172
45549,adverse,1,58
45555,lepton,1,82
45558,dissension,1,74
45559,armature,1,70
45562,Felix Klein,1,52
45563,approuvé,1,54
45566,soufflet,1,156
45570,yaourtière,1,84
45571,anonymat,1,88
45581,hydrogéologie,1,52
45590,louchebem,1,52
45591,Céline,1,110
45592,fonds,1,124
45597,trépasser,1,102
45598,se confiner,1,52
45602,monaco,1,60
45606,coléoptère,1,198
45607,octogonal,1,58
45613,miser,1,148
45614,Angela,1,52
45616,errer,1,212
45617,marcescence,1,52
45618,épître,1,210
45620,mater,1,276
45623,gas-oil,1,60
45624,frigo,1,902
45625,privauté,1,54
45626,grands airs,1,54
45630,Silvestre Revueltas,1,52
45631,estampe,1,68
45632,âge adulte,1,66
45635,rein,1,328
45637,demandeur,1,66
45638,olfactif,1,84
45639,basilique Saint-Julien,1,54
45640,synthétique,1,196
45644,déblayer,1,80
45645,enfoncé,1,84
45649,néoplasticisme,1,52
45654,désirable,1,74
45655,caniveau,1,206
45661,canidé,1,526
45662,non-conformiste,1,58
45664,matérialité,1,54
45671,catholique,1,1176
45673,Viking,1,62
45676,psychodrame,1,54
45682,se jouer,1,52
45686,découper,1,1104
45691,Linné,1,52
45693,démilitarisation,1,54
45696,se vendre,1,54
45699,tourteau,1,94
45702,parulie,1,52
45703,lycra,1,70
45705,marche,1,894
45708,doucette,1,90
45711,fouetter,1,206
45716,coups et blessures,1,70
45722,tradition,1,224
45727,redressement,1,78
45736,nécessiteux,1,86
45737,nitrique,1,56
45738,vibrisse,1,62
45739,Cali,1,52
45741,aigles,1,54
45743,se remettre,1,80
45745,être fauché comme les blés,1,52
45748,éclabousser,1,94
45749,inconvénient,1,72
45751,amphore,1,64
45754,couperose,1,58
45758,collectionneur,1,150
45766,exhalaison,1,76
45767,Yougoslavie,1,108
45768,petit rat,1,210
45769,vainement,1,56
45771,marinière,1,90
45773,Bosnie,1,58
45774,mosaïcité,1,52
45778,oeil-de-boeuf,1,68
45779,véritablement,1,72
45781,salamalec,1,54
45784,nouba,1,58
45785,blush,1,98
45790,séculaire,1,64
45794,Molière,1,254
45797,odin,1,52
45802,Blum,1,54
45807,rendre compte,1,60
45808,sacro-iliaque,1,52
45815,réactivité,1,56
45817,excaver,1,66
45820,se renforcer,1,54
45822,vachard,1,58
45827,pilon,1,90
45830,se tailler,1,56
45834,domaine public,1,88
45835,baragouinage,1,52
45837,inné,1,76
45840,info,1,106
45843,cerclé,1,54
45844,veine,1,675
45846,recentrage,1,52
45847,verrouillage,1,52
45848,brodé,1,54
45854,surpris,1,134
45855,chromate,1,52
45858,judaïque,1,52
45861,révolte des canuts,1,54
45862,insu,1,52
45863,chaux,1,96
45865,préside,1,56
45869,très bien,1,74
45871,apologue,1,74
45873,se défouler,1,60
45875,coquetel,1,56
45877,tubuleux,1,58
45881,olympisme,1,64
45882,cryosol,1,56
45883,marais salants,1,58
45884,projectionniste,1,72
45887,barrière,1,332
45889,vestiaire,1,102
45893,physiothérapeute,1,52
45895,sombrero,1,114
45899,cèdre,1,58
45901,être plein de,1,52
45902,quadrille,1,52
45903,ostéolyse,1,52
45911,papauté,1,98
45912,denté,1,78
45914,Chiapas,1,52
45915,Bonne Mère,1,52
45918,autoroutier,1,108
45923,hématophage,1,80
45924,feu du ciel,1,70
45928,empilage,1,54
45930,délation,1,64
45931,manteau,1,780
45932,ventral,1,58
45934,épluche-légumes,1,80
45942,gaulliste,1,52
45955,référence,1,100
45956,contractilité,1,58
45958,signe avant-coureur,1,62
45959,dynaste,1,52
45962,intimidateur,1,52
45963,coincé,1,158
45968,hululer,1,72
45974,construit,1,124
45977,chiffonnade,1,52
45978,légaliser,1,84
45981,novateur,1,74
45989,surface,1,248
45992,guimauve,1,108
45993,servile,1,84
45994,chavirer,1,116
45995,émerveiller,1,78
45999,éternuer,1,222
46003,énonciation,1,64
46004,transformiste,1,56
46006,décider,1,434
46009,délaver,1,150
46010,chatoyant,1,52
46011,ainsi soit-il,1,64
46019,chienlit,1,52
46022,Düsseldorf,1,52
46023,ciseler,1,82
46031,soulagé,1,60
46032,stannite,1,52
46037,plaie,1,552
46039,charrier,1,86
46043,pyroxènes,1,52
46045,se coucher,1,238
46047,rassembleur,1,56
46048,baryon,1,60
46049,bêta-bloquant,1,54
46052,sourd,1,260
46054,coup dur,1,72
46057,oiseaux,1,586
46060,sexy,1,314
46063,frileux,1,74
46065,transmis,1,56
46067,siens,1,52
46068,chopiner,1,52
46070,coup de soleil,1,136
46072,prouver,1,294
46074,après-demain,1,128
46077,réalisé,1,64
46078,marraine,1,164
46079,champ de bataille,1,432
46083,fédéré,1,52
46086,irrésolution,1,90
46091,critique,1,386
46095,négligence,1,116
46097,sibylle,1,64
46098,Onitsha,1,54
46106,camion-citerne,1,62
46108,vulgarité,1,142
46109,Montargis,1,54
46111,commotionné,1,52
46123,combles,1,80
46126,Justinien Ier,1,54
46129,mixage,1,56
46130,art roman,1,52
46133,synecdoque,1,52
46141,congélateur,1,708
46148,vibrant,1,56
46151,Disneyland Paris,1,58
46157,enseigne,1,96
46158,Pétra,1,52
46161,turbocompresseur,1,66
46163,grincer,1,60
46164,carnivores,1,52
46166,hypertendu,1,70
46175,ossement,1,136
46176,suicide,1,780
46179,casse-pieds,1,174
46182,pollué,1,138
46183,se confirmer,1,52
46190,parachutisme,1,60
46191,grammairien,1,112
46192,ache,1,52
46195,sans fin,1,114
46201,oracle,1,98
46202,broyage,1,54
46206,trappe,1,68
46209,mondé,1,52
46211,dérober,1,298
46215,déstocker,1,58
46220,intraduisible,1,80
46223,caprin,1,78
46227,lombaires,1,62
46228,Louisiane,1,86
46231,déferrer,1,54
46234,langue russe,1,52
46235,clef,1,512
46237,centrifuge,1,64
46249,revenu,1,206
46251,mixte,1,60
46252,stocker,1,248
46255,interne,1,246
46256,engraisseur,1,58
46257,insondable,1,60
46260,windows,1,276
46263,diazote,1,58
46266,plausible,1,76
46268,insoucieux,1,52
46274,comédon,1,110
46275,Albi,1,62
46277,progrès,1,148
46282,huer,1,86
46286,procréation,1,142
46295,gag,1,116
46297,nectarifère,1,58
46306,californium,1,52
46308,stupre,1,54
46312,comptabilité,1,130
46315,bidonnage,1,52
46316,cyanose,1,60
46317,motard,1,354
46319,stylo-feutre,1,120
46321,brick,1,66
46322,machination,1,92
46323,faire comprendre,1,82
46324,stratégie,1,126
46326,Renaud,1,52
46328,Cyrus,1,58
46329,immunité,1,192
46330,devenir dingue,1,52
46333,sauterelle,1,76
46338,manouche,1,62
46344,tourments,1,52
46345,coquette,1,78
46346,malle,1,252
46352,tarifé,1,52
46353,Spock,1,70
46358,moisir,1,92
46360,mots,1,532
46361,voûte plantaire,1,66
46362,faux-fuyant,1,72
46363,butin,1,120
46364,porter assistance,1,52
46365,avatar,1,72
46366,flécher,1,52
46367,griller,1,274
46369,Slovaquie,1,78
46371,aération,1,162
46380,interner,1,82
46381,fauchée,1,54
46382,open,1,54
46393,institutrice,1,650
46395,venter,1,90
46397,Corot,1,52
46398,jabot,1,62
46401,rasoir,1,516
46403,régence,1,106
46405,gorger,1,52
46407,despotisme,1,72
46415,distendu,1,52
46421,archéen,1,56
46425,mythologie celtique,1,62
46427,mettre un frein,1,88
46429,calisson,1,86
46430,impacteur,1,52
46439,nerveuse,1,64
46440,fémoral,1,58
46444,fifre,1,56
46450,dignité,1,120
46453,douane,1,248
46456,mal fichu,1,54
46467,courir un danger,1,66
46478,maigri,1,52
46480,pelade,1,74
46485,avant-scène,1,84
46489,ghanéen,1,56
46494,dédouaner,1,52
46497,refuge,1,334
46505,enseignant,1,792
46510,ronds,1,64
46514,théobromine,1,56
46515,richement,1,86
46523,préventif,1,64
46534,tactile,1,76
46535,géo,1,60
46539,somptuaire,1,52
46541,buxacée,1,54
46543,marketing,1,150
46544,bandage,1,176
46545,demi-finale,1,52
46547,Lipari,1,56
46550,véloce,1,118
46556,Critique de la raison pratique,1,52
46557,glotte,1,92
46559,quintet,1,80
46560,décapant,1,94
46562,Nom de la rose,1,52
46565,wapiti,1,52
46566,CAPES,1,76
46570,neutralisme,1,58
46576,abonné,1,60
46583,madré,1,52
46585,repus,1,52
46592,rôt,1,52
46594,cutané,1,86
46595,kevlar,1,54
46596,chasuble,1,72
46600,variation,1,108
46603,effervescence,1,66
46605,Dallas,1,64
46607,bouche bée,1,84
46609,surfaceuse,1,52
46610,glabelle,1,52
46612,compris,1,58
46613,Japet,1,62
46614,décoratif,1,66
46615,cacahouète,1,66
46618,érubescent,1,54
46622,porte-clefs,1,58
46623,panteler,1,54
46624,révérencieusement,1,52
46627,hypocondre,1,54
46629,dextrocardie,1,52
46631,convivialité,1,192
46633,flint-glass,1,64
46636,brocante,1,94
46638,marivaudage,1,62
46641,Claudette,1,56
46646,grippé,1,150
46647,empocher,1,54
46655,gave,1,60
46656,pitoyable,1,72
46657,homotope,1,52
46661,perliculture,1,52
46662,végétalisme,1,56
46663,faiblissement,1,52
46666,supporter,1,316
46667,emmitoufler,1,56
46668,Exeter,1,52
46670,envieux,1,120
46672,se calfeutrer,1,52
46673,rumba,1,164
46679,télégraphiste,1,52
46693,félicités,1,52
46698,fausse couche,1,90
46701,centenaire,1,68
46702,zigzag,1,56
46706,pression,1,452
46707,espèce humaine,1,70
46708,se préparer,1,76
46714,temnospondyles,1,52
46715,monseigneur,1,52
46717,parlant,1,98
46719,effraie,1,124
46724,licou,1,58
46728,chimie,1,2544
46731,expédient,1,56
46734,Robert,1,134
46735,neurofilament,1,52
46738,psalmodier,1,86
46739,stand,1,202
46741,athénien,1,76
46742,logiciel,1,742
46746,bouleversant,1,56
46747,Christine,1,52
46750,turlupiner,1,64
46758,Kim,1,52
46759,haïssable,1,72
46763,hémophile,1,58
46766,délicieusement,1,70
46772,ludo-éducatif,1,52
46774,méprise,1,80
46780,Rebecca,1,54
46781,poivrier,1,68
46784,status,1,52
46788,Eure,1,60
46789,Didier,1,78
46797,obséquiosité,1,54
46803,se scandaliser,1,54
46804,Tasmanie,1,82
46808,granuleux,1,68
46809,touille,1,58
46812,se pavaner,1,64
46813,paella,1,78
46818,lancée,1,70
46822,scintillant,1,68
46823,apathie,1,224
46828,expérimenter,1,106
46829,substantiel,1,52
46832,pusillanime,1,68
46835,lente,1,122
46836,participatif,1,54
46838,boycott,1,54
46839,voyance,1,128
46840,passablement,1,54
46844,loin,1,360
46848,classé,1,92
46850,nord-américain,1,56
46854,obstétrique,1,128
46855,patagium,1,52
46856,bique,1,62
46857,sexto,1,54
46859,billette,1,52
46867,Constantinople,1,134
46870,symbolique,1,66
46871,briqueterie,1,68
46872,destrier,1,64
46876,Santa Cruz de Tenerife,1,98
46879,sud,1,1068
46886,spathe,1,52
46889,poitrine,1,658
46894,dispense,1,66
46897,route Napoléon,1,54
46903,corymbe,1,52
46907,saur,1,68
46908,frigide,1,74
46912,association,1,364
46913,bouge,1,138
46914,nécessaire,1,128
46919,audible,1,54
46920,scoop,1,164
46923,modeste,1,142
46924,dégeler,1,72
46926,envisager,1,84
46930,intello,1,66
46931,cheik,1,54
46937,stewart,1,64
46938,rhombique,1,52
46940,contusionné,1,52
46941,vil,1,72
46942,avoir part,1,52
46949,respirable,1,56
46956,chrono,1,60
46958,Lepus europaeus,1,92
46960,irrépressible,1,80
46962,lève,1,56
46965,bécane,1,60
46968,rallonge,1,84
46969,recharger,1,76
46972,arthrite,1,68
46975,jargauder,1,52
46978,caryophyllacée,1,52
46979,catabatique,1,52
46981,mémoires,1,68
46984,bougonnement,1,52
46987,démontré,1,62
46989,bactérien,1,52
46994,origine,1,362
46996,impressionné,1,58
46997,Mon homme,1,74
47004,gui,1,70
47007,sollicitation,1,86
47009,pseudo,1,110
47010,branle-bas,1,54
47016,intoxiqué,1,62
47019,inintelligible,1,74
47021,barder,1,56
47026,Saint-Maur,1,52
47027,Vincent,1,54
47032,Butler,1,52
47033,étudié,1,120
47038,déminage,1,58
47040,jar,1,62
47042,Fouquet,1,56
47052,meule,1,126
47056,pomoerium,1,52
47059,persistant,1,64
47073,compagnon,1,302
47076,masochisme,1,112
47084,digeste,1,54
47088,retournement,1,96
47097,gladiateurs,1,70
47100,saphisme,1,60
47101,orchestre de chambre,1,74
47103,adouci,1,54
47105,fumiste,1,78
47107,revalorisé,1,54
47109,spéculos,1,62
47112,outrance,1,74
47115,picador,1,64
47118,estompe,1,52
47122,compliquer,1,66
47123,suivre,1,446
47124,grand-père,1,626
47133,Napoléon Ier,1,62
47136,patchwork,1,60
47137,lorsque,1,60
47138,non-tissé,1,52
47142,sodium,1,98
47148,équilibres ponctués,1,52
47149,neuroscience,1,60
47151,Orléanais,1,52
47155,empaquetage,1,54
47156,vital,1,142
47160,exclusivité,1,58
47165,sino-tibétain,1,52
47167,inexpérience,1,58
47170,encéphalopathie spongiforme bovine,1,58
47173,décalcomanie,1,52
47175,terroriser,1,168
47177,invinciblement,1,52
47181,renoncules,1,52
47183,luxembourgeois,1,52
47184,RMI,1,84
47186,elle,1,616
47188,cofacteur,1,64
47191,Ford T,1,58
47193,receleur,1,54
47196,autoriser,1,164
47198,Mon légionnaire,1,52
47200,serval,1,56
47201,information,1,794
47203,rabâchage,1,62
47204,pourpre,1,162
47209,vie privée,1,150
47210,capilotade,1,52
47211,vénérer,1,104
47213,Overlord,1,52
47216,kératose,1,54
47217,Hamamélidacées,1,52
47218,Arménie,1,106
47223,courbatu,1,52
47224,extensibilité,1,54
47226,brunante,1,54
47227,Mortimer,1,56
47228,désapprobateur,1,52
47231,macabre,1,72
47232,plaider,1,172
47237,hommage,1,92
47244,ordonnancer,1,52
47247,boule de gomme,1,58
47251,immunohématologie,1,56
47255,pouffer,1,70
47257,semi,1,52
47270,nonagénaire,1,52
47278,envoûter,1,168
47282,Ebersmunster,1,52
47286,perte,1,520
47289,mal du siècle,1,58
47291,bégayer,1,60
47297,grimage,1,62
47298,foraminifère,1,56
47306,tirage,1,212
47311,estafier,1,52
47312,rodenticide,1,60
47313,anabolisme,1,54
47314,favoriser,1,96
47316,extrêmement,1,70
47319,colonne vertébrale,1,260
47323,priver,1,80
47325,réchauffement,1,180
47331,calcul,1,1048
47337,tomber amoureux,1,180
47338,ablatif,1,58
47345,revendication,1,362
47350,efficacement,1,218
47352,footballeur,1,174
47354,hall,1,136
47355,Tintin et les Picaros,1,52
47356,tabouret,1,274
47357,hydrogénolyse,1,52
47359,corderie,1,52
47360,longitude,1,88
47361,cochonnaille,1,62
47367,grisant,1,54
47370,thyrse,1,58
47377,salé,1,550
47383,sado,1,62
47384,nouer,1,378
47385,Auvergne,1,160
47386,boursicoteur,1,56
47387,Irma,1,124
47393,brugnon,1,136
47394,tombant,1,58
47395,Sturm und Drang,1,52
47397,Saintonge,1,52
47400,gallon,1,54
47403,ébouillanter,1,56
47412,tumeurs,1,54
47414,microcéphale,1,52
47416,pleurnichement,1,52
47417,boeuf,1,1370
47418,se faire de la bile,1,62
47419,rooter,1,52
47420,obéissant,1,112
47425,saints,1,52
47426,délesté,1,58
47427,Simone Veil,1,98
47430,radiotélégraphie,1,54
47431,viabilité,1,52
47435,étonné,1,140
47439,gonflant,1,68
47440,discourir,1,162
47444,clopiner,1,56
47445,négligeant,1,54
47448,fictionnel,1,62
47449,indigence,1,92
47450,décongestionner,1,54
47452,être transporté,1,54
47459,longuet,1,80
47466,nourrir,1,702
47468,trésor,1,484
47474,Richard Burton,1,58
47475,ricochet,1,68
47478,trentième,1,56
47487,bouler,1,54
47489,évolutionniste,1,76
47495,rôle,1,294
47498,citoyenneté,1,102
47511,B.C.G,1,52
47514,enquêter,1,198
47515,couillonner,1,54
47516,policer,1,106
47518,aigre,1,156
47519,voix passive,1,52
47526,chélonien,1,68
47528,fourche,1,150
47531,concerter,1,58
47533,cyprin,1,58
47535,expérience,1,362
47536,pédicule,1,56
47540,miauler,1,416
47541,carrosse,1,116
47545,Gibbs,1,54
47549,oseille,1,208
47550,dendrite,1,60
47551,scrutement,1,52
47552,orthodontiste,1,70
47553,pièze,1,56
47554,grenouiller,1,56
47556,pactole,1,54
47563,calibre,1,72
47570,redonner,1,80
47573,clairvoyance,1,78
47579,Fleurs du mal,1,58
47580,réfrigérer,1,264
47582,Palmyre,1,58
47584,scrotum,1,64
47585,confessionnal,1,102
47589,louveteau,1,122
47593,nuance,1,146
47595,cauchemardesque,1,86
47596,Arezzo,1,52
47597,alcool,1,4080
47598,sous-vêtements,1,74
47603,gargouille,1,62
47608,rameuter,1,60
47617,presser,1,230
47620,gelée,1,242
47622,Sunset Boulevard,1,54
47624,sans réserve,1,60
47625,anglican,1,94
47633,kafir,1,52
47638,véhicule automobile,1,58
47641,cyclohexane,1,52
47643,poussette,1,160
47647,familier,1,200
47648,dépecé,1,54
47651,marcassite,1,60
47657,pyrargyrite,1,52
47658,thanatophobie,1,76
47659,boire le calice,1,74
47661,carie,1,1264
47662,rayonnant,1,82
47665,méridional,1,58
47667,chiite,1,64
47668,sur-mesure,1,54
47669,sauté,1,72
47673,panafricanisme,1,52
47679,fenugrec,1,60
47684,versant,1,78
47691,grelottement,1,52
47695,voyagiste,1,113
47698,riverain,1,58
47699,être comme un coq en pâte,1,60
47704,bail et loyer,1,52
47707,aller de soi,1,64
47710,éclectique,1,52
47711,guérisseur,1,154
47712,tagger,1,76
47717,inexistant,1,104
47724,Lot-et-Garonne,1,68
47727,Maris,1,52
47732,plus-value,1,90
47733,Marat,1,70
47740,vinaigrette,1,254
47741,haleur,1,52
47750,thyréostimuline,1,54
47751,palpitant,1,70
47752,soufflant,1,76
47753,manigancer,1,76
47755,véhémence,1,60
47758,Organisation de coopération et de développement économiques,1,54
47761,empâtement,1,54
47773,micro-onde,1,98
47774,bâfrer,1,62
47779,poste de pilotage,1,54
47787,intra,1,54
47792,recherche scientifique,1,102
47795,bonne mine,1,76
47796,vitrification,1,60
47798,contrarier,1,114
47802,bomber,1,94
47803,subir,1,86
47804,neigeux,1,88
47815,désincarcérer,1,52
47819,frauder le fisc,1,54
47821,à la brune,1,62
47822,Indre-et-Loire,1,58
47824,fouillis,1,80
47826,lieu-dit,1,94
47827,préventive,1,58
47830,intemporel,1,62
47832,prothésiste,1,74
47839,sociabilité,1,104
47843,bâton de vieillesse,1,52
47845,détailler,1,116
47847,expectative,1,56
47850,remorquer,1,58
47853,hélas,1,64
47854,coprah,1,62
47858,Ithaque,1,104
47859,se détacher,1,54
47868,incongruité,1,58
47869,contracter,1,118
47870,titi,1,226
47878,mariage blanc,1,82
47884,meurtrissure,1,66
47885,taxe sur la valeur ajoutée,1,52
47887,haché,1,122
47890,marie-salope,1,56
47894,infestation,1,52
47896,flambé,1,54
47898,dollar,1,293
47899,coincer,1,150
47903,sangria,1,58
47907,petit déjeuner,1,484
47911,fessier,1,172
47912,glanure,1,52
47914,fac,1,520
47918,boire,1,4348
47920,Massachusetts Institute of Technology,1,58
47921,bigorneau,1,96
47922,vente aux enchères,1,96
47923,poutrelle,1,88
47924,insensibiliser,1,64
47927,salicacée,1,58
47931,mésencéphale,1,56
47933,bouffable,1,56
47934,grassouillet,1,118
47936,ver luisant,1,142
47937,stéréophonique,1,52
47943,psychomotricité,1,52
47945,wagon plat,1,60
47949,désoxyribose,1,54
47953,Esquilin,1,56
47959,l,1,1134
47964,doré,1,146
47969,dojo,1,60
47970,fermage,1,68
47972,réfléchir,1,680
47974,royalisme,1,222
47988,feutré,1,52
47990,astucieux,1,86
47994,durcissement,1,62
47995,abécédaire,1,1166
47997,insolvable,1,54
48008,débotter,1,52
48017,désabusement,1,54
48024,brise-fer,1,52
48026,Commune de Paris,1,58
48028,narcissisme,1,94
48029,discriminer,1,80
48030,cuistot,1,198
48032,se révolter,1,68
48034,petite monnaie,1,88
48040,bouffonnerie,1,100
48041,sauna,1,234
48042,Haute Cour de justice,1,52
48044,roseraie,1,106
48052,Bergerac,1,56
48054,prôner,1,52
48058,brrr,1,62
48063,se faire entendre,1,72
48066,Athanagild,1,52
48069,économies,1,72
48070,Dimitri Ivanovitch Pissarev,1,52
48071,cabotin,1,56
48073,marteler,1,196
48076,Daniel Pennac,1,92
48077,attentat à la pudeur,1,54
48078,infrastructure,1,54
48080,ballonné,1,80
48084,cardigan,1,60
48087,Rostand,1,62
48088,caricature,1,98
48104,situation,1,300
48108,éviscérer,1,68
48111,Steffi Graf,1,56
48114,dipneustes,1,52
